Year + Mes,Anomaly
189904,-0.31
189905,-0.47
189906,-0.41
189907,-0.12
189908,-0.08
189909,0.16
189910,-0.36
189911,0
189912,0
190001,-0.75
190002,0.04
190003,0.12
190004,-0.37
190005,-0.08
190006,0.02
190007,-0.16
190008,-0.11
190009,-0.35
190010,0.04
190011,-0.11
190012,0.02
190101,-0.58
190102,-0.26
190103,0.45
190104,0.26
190105,-0.2
190106,-0.06
190107,-0.03
190108,0
190109,-0.1
190110,-0.34
190111,-0.23
190112,0.07
190201,-0.18
190202,0.2
190203,-0.48
190204,-0.5
190205,-0.26
190206,0.02
190207,-0.03
190208,-0.15
190209,-0.3
190210,-0.45
190211,-0.59
190212,-0.78
190301,-0.31
190302,-0.22
190303,-0.09
190304,-0.65
190305,-0.28
190306,-0.25
190307,-0.41
190308,-0.39
190309,-0.49
190310,-0.68
190311,-0.32
190312,-0.86
190401,-0.94
190402,-0.67
190403,-0.16
190404,-0.65
190405,-0.48
190406,-0.39
190407,-0.37
190408,-0.38
190409,-0.5
190410,-0.42
190411,0.03
190412,-0.1
190501,-0.24
190502,-0.94
190503,-0.24
190504,-0.41
190505,-0.1
190506,-0.05
190507,-0.08
190508,-0.39
190509,-0.48
190510,-0.55
190511,-0.15
190512,-0.44
190601,-0.76
190602,-0.46
190603,-0.29
190604,0.28
190605,0.1
190606,0.1
190607,-0.01
190608,-0.14
190609,-0.19
190610,0.1
190611,-0.26
190612,0.33
190701,-0.42
190702,-0.87
190703,-0.38
190704,-0.78
190705,-0.83
190706,-0.58
190707,-0.38
190708,-0.27
190709,-0.37
190710,-0.12
190711,-0.56
190712,-0.6
190801,-0.75
190802,-0.11
190803,-0.75
190804,-0.74
190805,-0.46
190806,-0.17
190807,-0.18
190808,-0.45
190809,-0.38
190810,-0.54
190811,-0.5
190812,-0.46
190901,-1.21
190902,-0.39
190903,-0.57
190904,-0.74
190905,-0.49
190906,-0.45
190907,-0.32
190908,-0.16
190909,-0.18
190910,-0.08
190911,0.13
190912,-0.33
191001,-0.21
191002,-0.3
191003,-0.41
191004,-0.28
191005,-0.24
191006,-0.26
191007,-0.06
191008,-0.1
191009,-0.2
191010,-0.39
191011,-0.17
191012,-0.74
191101,-0.83
191102,-0.8
191103,-0.92
191104,-0.12
191105,-0.44
191106,-0.44
191107,-0.3
191108,-0.34
191109,-0.34
191110,-0.13
191111,-0.08
191112,-0.23
191201,-0.5
191202,-0.33
191203,-0.93
191204,-0.41
191205,-0.17
191206,-0.11
191207,-0.6
191208,-0.71
191209,-0.7
191210,-1.07
191211,-0.17
191212,-0.37
191301,-0.58
191302,-0.6
191303,-0.68
191304,-0.48
191305,-0.59
191306,-0.41
191307,-0.34
191308,-0.05
191309,-0.2
191310,-0.44
191311,-0.24
191312,0.35
191401,0.1
191402,-0.05
191403,-0.37
191404,-0.23
191405,-0.1
191406,0.01
191407,-0.23
191408,-0.36
191409,-0.33
191410,-0.02
191411,0.14
191412,0
191501,-0.34
191502,-0.04
191503,-0.07
191504,0.3
191505,0.11
191506,-0.12
191507,0.04
191508,-0.1
191509,-0.19
191510,-0.32
191511,0.04
191512,-0.48
191601,-0.17
191602,-0.27
191603,-0.3
191604,-0.17
191605,-0.16
191606,-0.26
191607,-0.31
191608,-0.14
191609,-0.31
191610,-0.32
191611,-0.85
191612,-1.42
191701,-0.48
191702,-0.96
191703,-1.09
191704,-0.72
191705,-0.88
191706,-0.51
191707,-0.07
191708,-0.37
191709,-0.34
191710,-0.88
191711,-0.46
191712,-1.24
191801,-1.12
191802,-0.92
191803,-0.58
191804,-0.84
191805,-0.75
191806,-0.64
191807,-0.38
191808,-0.43
191809,-0.2
191810,-0.14
191811,-0.46
191812,-0.69
191901,-0.12
191902,-0.67
191903,-0.68
191904,0.07
191905,-0.15
191906,-0.35
191907,-0.17
191908,-0.31
191909,-0.13
191910,-0.29
191911,-0.33
191912,-0.39
192001,0.17
192002,-0.22
192003,-0.04
192004,-0.4
192005,-0.09
192006,-0.29
192007,-0.32
192008,-0.26
192009,-0.33
192010,-0.34
192011,-0.42
192012,-0.81
192101,0.09
192102,-0.34
192103,-0.32
192104,-0.27
192105,0.01
192106,-0.03
192107,0.02
192108,-0.19
192109,-0.24
192110,-0.1
192111,-0.04
192112,-0.14
192201,-0.19
192202,-0.92
192203,-0.19
192204,0.02
192205,-0.32
192206,-0.21
192207,-0.31
192208,-0.41
192209,-0.27
192210,-0.36
192211,0.27
192212,0.09
192301,-0.3
192302,-0.34
192303,-0.58
192304,-0.52
192305,-0.3
192306,-0.09
192307,-0.48
192308,-0.47
192309,-0.4
192310,-0.08
192311,0.18
192312,0.01
192401,-0.3
192402,-0.25
192403,0.07
192404,-0.37
192405,-0.2
192406,-0.17
192407,-0.37
192408,-0.4
192409,-0.18
192410,-0.2
192411,0.15
192412,-0.19
192501,-0.52
192502,-0.38
192503,-0.16
192504,0.12
192505,-0.17
192506,-0.36
192507,-0.35
192508,-0.36
192509,-0.35
192510,-0.13
192511,-0.02
192512,0.25
192601,0.61
192602,0.32
192603,0.56
192604,0.15
192605,-0.47
192606,-0.22
192607,-0.34
192608,-0.26
192609,-0.13
192610,0.3
192611,0.07
192612,-0.48
192701,-0.45
192702,-0.1
192703,-0.65
192704,-0.49
192705,-0.25
192706,-0.03
192707,-0.17
192708,0.07
192709,0.13
192710,0.29
192711,0.12
192712,-0.58
192801,0.06
192802,0.05
192803,-0.25
192804,-0.23
192805,-0.11
192806,-0.06
192807,-0.26
192808,-0.25
192809,0.15
192810,-0.11
192811,0.19
192812,0.23
192901,-0.45
192902,-0.68
192903,-0.28
192904,-0.56
192905,-0.43
192906,-0.64
192907,-0.63
192908,-0.19
192909,-0.21
192910,-0.04
192911,-0.16
192912,-0.9
193001,-0.35
193002,-0.18
193003,-0.04
193004,-0.02
193005,-0.17
193006,-0.05
193007,0.15
193008,-0.08
193009,-0.32
193010,-0.25
193011,0.51
193012,0.12
193101,0.06
193102,-0.38
193103,-0.1
193104,-0.22
193105,-0.24
193106,0.05
193107,0.15
193108,0.18
193109,0.26
193110,0.36
193111,0.29
193112,0.31
193201,0.69
193202,-0.39
193203,-0.11
193204,0.3
193205,-0.05
193206,0.06
193207,-0.14
193208,-0.35
193209,0.26
193210,0.26
193211,-0.36
193212,-0.14
193301,-0.08
193302,-0.5
193303,-0.22
193304,-0.23
193305,-0.21
193306,-0.24
193307,-0.28
193308,-0.24
193309,-0.44
193310,-0.07
193311,-0.29
193312,-0.44
193401,-0.24
193402,0.42
193403,-0.23
193404,-0.39
193405,0.27
193406,-0.09
193407,-0.06
193408,-0.06
193409,-0.05
193410,0.21
193411,0.42
193412,0.24
193501,-0.49
193502,0.81
193503,0.01
193504,-0.73
193505,-0.36
193506,-0.38
193507,0.11
193508,0.04
193509,0.08
193510,0.02
193511,-0.34
193512,-0.08
193601,-0.6
193602,-0.62
193603,-0.3
193604,-0.13
193605,-0.08
193606,-0.07
193607,0.29
193608,0.24
193609,-0.01
193610,0.21
193611,0.13
193612,0.25
193701,0.08
193702,0.17
193703,-0.48
193704,-0.36
193705,0.08
193706,0.04
193707,-0.03
193708,0.18
193709,0.36
193710,0.34
193711,0.38
193712,-0.07
193801,0.24
193802,0.35
193803,0.44
193804,0.51
193805,0.12
193806,-0.29
193807,0.19
193808,0.11
193809,0.38
193810,0.42
193811,0.53
193812,0.08
193901,0.23
193902,0.07
193903,-0.47
193904,-0.21
193905,0.18
193906,0.09
193907,0.22
193908,0.28
193909,-0.03
193910,-0.13
193911,0.19
193912,1.23
194001,0.05
194002,0.22
194003,0.06
194004,0.44
194005,0.13
194006,-0.06
194007,0.01
194008,-0.13
194009,0.1
194010,0.25
194011,0.13
194012,0.52
194101,-0.12
194102,0.35
194103,-0.08
194104,0.2
194105,0.18
194106,0.17
194107,0.2
194108,0.27
194109,-0.09
194110,0.2
194111,-0.12
194112,0.13
194201,0.58
194202,-0.35
194203,-0.15
194204,-0.02
194205,-0.08
194206,0.14
194207,-0.15
194208,0.08
194209,0.23
194210,0.17
194211,0.27
194212,0.13
194301,-0.3
194302,0.18
194303,-0.1
194304,0.34
194305,0
194306,-0.44
194307,0.04
194308,-0.09
194309,-0.05
194310,0.56
194311,0.31
194312,0.45
194401,0.75
194402,0.53
194403,0.37
194404,-0.01
194405,0.13
194406,-0.01
194407,-0.12
194408,-0.03
194409,0.44
194410,0.44
194411,0.33
194412,0.2
194501,0.16
194502,-0.26
194503,-0.11
194504,0.43
194505,-0.06
194506,-0.03
194507,-0.11
194508,0.51
194509,0.06
194510,0.05
194511,-0.05
194512,-0.44
194601,0.37
194602,0.07
194603,-0.2
194604,0.1
194605,0.12
194606,-0.14
194607,-0.05
194608,-0.14
194609,-0.05
194610,-0.21
194611,0.22
194612,-0.31
194701,0.18
194702,0.22
194703,0.32
194704,0.28
194705,0
194706,0.05
194707,0
194708,-0.13
194709,0.02
194710,0.48
194711,0.23
194712,-0.08
194801,0.35
194802,0.02
194803,-0.33
194804,0.08
194805,0.4
194806,-0.09
194807,0.05
194808,0
194809,0.01
194810,0.2
194811,0.1
194812,-0.55
194901,0.32
194902,-0.31
194903,0.19
194904,-0.1
194905,0.1
194906,-0.21
194907,-0.16
194908,-0.07
194909,-0.24
194910,0.03
194911,-0.01
194912,-0.06
195001,-0.36
195002,-0.39
195003,0.02
195004,-0.32
195005,0.1
195006,-0.08
195007,-0.17
195008,-0.29
195009,-0.1
195010,-0.23
195011,-0.53
195012,-0.28
195101,-0.69
195102,-0.91
195103,-0.1
195104,-0.2
195105,0.17
195106,-0.08
195107,-0.17
195108,0.09
195109,0.3
195110,0.28
195111,-0.08
195112,0.42
195201,0.3
195202,0.14
195203,-0.3
195204,0.11
195205,-0.05
195206,-0.09
195207,0.1
195208,0.05
195209,0.08
195210,-0.1
195211,-0.33
195212,0.02
195301,0.25
195302,0.46
195303,0.41
195304,0.6
195305,0.27
195306,0.21
195307,-0.14
195308,0.02
195309,-0.04
195310,0.22
195311,-0.02
195312,0.28
195401,-0.35
195402,-0.06
195403,-0.24
195404,-0.25
195405,-0.29
195406,-0.04
195407,0.04
195408,-0.04
195409,-0.06
195410,0.24
195411,0.44
195412,0.05
195501,0.67
195502,-0.32
195503,-0.66
195504,-0.28
195505,-0.15
195506,-0.07
195507,-0.13
195508,0.35
195509,-0.03
195510,0.22
195511,-0.45
195512,-0.57
195601,-0.17
195602,-0.26
195603,-0.19
195604,-0.43
195605,-0.49
195606,-0.25
195607,-0.14
195608,-0.62
195609,-0.34
195610,-0.61
195611,-0.3
195612,0.01
195701,-0.1
195702,-0.27
195703,-0.3
195704,-0.05
195705,-0.09
195706,0.19
195707,-0.2
195708,0.16
195709,0.14
195710,0.07
195711,0.02
195712,0.13
195801,0.82
195802,0.3
195803,0.09
195804,-0.08
195805,0.13
195806,-0.19
195807,0.11
195808,-0.23
195809,-0.31
195810,-0.09
195811,-0.09
195812,0.08
195901,0.16
195902,0.16
195903,0.58
195904,0.38
195905,0.07
195906,0.19
195907,0.14
195908,0.02
195909,-0.12
195910,-0.15
195911,-0.14
195912,0.09
196001,0.06
196002,0.39
196003,-0.86
196004,-0.36
196005,-0.39
196006,-0.03
196007,-0.13
196008,-0.04
196009,0.02
196010,0.03
196011,-0.45
196012,0.6
196101,0.21
196102,0.25
196103,0.13
196104,0.21
196105,0.19
196106,0.18
196107,0.08
196108,0.04
196109,0.12
196110,-0.12
196111,0.06
196112,-0.43
196201,0.16
196202,0.46
196203,0.4
196204,0.12
196205,-0.3
196206,-0.11
196207,-0.2
196208,-0.18
196209,-0.18
196210,-0.06
196211,0.31
196212,0.08
196301,0.04
196302,0.6
196303,-0.37
196304,-0.25
196305,-0.35
196306,-0.12
196307,0.04
196308,0.29
196309,0.29
196310,0.29
196311,0.14
196312,-0.01
196401,-0.2
196402,-0.29
196403,-0.55
196404,-0.66
196405,-0.5
196406,-0.08
196407,-0.06
196408,-0.18
196409,-0.53
196410,-0.56
196411,-0.35
196412,-0.26
196501,0.04
196502,-0.3
196503,-0.19
196504,-0.36
196505,-0.18
196506,-0.24
196507,-0.19
196508,-0.11
196509,-0.31
196510,0.02
196511,0.01
196512,-0.1
196601,-0.53
196602,-0.13
196603,-0.05
196604,-0.42
196605,-0.11
196606,0.07
196607,0.25
196608,-0.1
196609,-0.01
196610,-0.46
196611,-0.16
196612,-0.15
196701,-0.24
196702,-0.47
196703,0.17
196704,0.04
196705,0.44
196706,-0.16
196707,-0.05
196708,-0.06
196709,0.03
196710,0.37
196711,-0.04
196712,0.27
196801,-0.37
196802,-0.18
196803,0.79
196804,-0.01
196805,-0.17
196806,-0.19
196807,-0.36
196808,-0.2
196809,-0.44
196810,-0.1
196811,-0.61
196812,-0.72
196901,-0.76
196902,-0.72
196903,-0.3
196904,0.02
196905,0.12
196906,0.01
196907,-0.13
196908,-0.13
196909,-0.01
196910,0.13
196911,0.15
196912,0.57
197001,0.16
197002,0.38
197003,0.08
197004,0.02
197005,-0.1
197006,0.03
197007,0.16
197008,-0.24
197009,0.19
197010,-0.16
197011,-0.08
197012,-0.28
197101,-0.13
197102,-0.26
197103,-0.1
197104,-0.09
197105,0.02
197106,-0.16
197107,-0.07
197108,0.04
197109,0.32
197110,-0.13
197111,-0.11
197112,0.04
197201,-0.6
197202,-0.57
197203,0.2
197204,-0.01
197205,-0.08
197206,0.18
197207,-0.03
197208,0.4
197209,0.01
197210,0
197211,-0.38
197212,0.08
197301,0.37
197302,0.51
197303,0.44
197304,0.6
197305,0.46
197306,0.55
197307,0.2
197308,0.08
197309,0.12
197310,0.14
197311,0.05
197312,0.13
197401,-0.19
197402,-0.67
197403,0.01
197404,-0.03
197405,0.05
197406,0.04
197407,0.04
197408,0.22
197409,-0.24
197410,-0.14
197411,-0.36
197412,-0.32
197501,0.07
197502,0.26
197503,0.46
197504,0.27
197505,0.42
197506,0.24
197507,0.04
197508,-0.27
197509,0.11
197510,-0.28
197511,-0.32
197512,-0.03
197601,0.19
197602,-0.11
197603,-0.37
197604,0.03
197605,-0.4
197606,-0.23
197607,-0.05
197608,-0.21
197609,0
197610,-0.93
197611,-0.52
197612,-0.05
197701,0.08
197702,0.02
197703,0.23
197704,0.39
197705,0.54
197706,0.46
197707,0.33
197708,0.37
197709,-0.08
197710,-0.21
197711,0.32
197712,0.03
197801,0
197802,0.18
197803,0.36
197804,0.22
197805,0.09
197806,-0.19
197807,0.03
197808,-0.44
197809,0.06
197810,-0.05
197811,0.23
197812,-0.03
197901,-0.01
197902,-0.59
197903,0.03
197904,-0.28
197905,-0.05
197906,0.01
197907,-0.16
197908,0.06
197909,0.25
197910,0.25
197911,0.19
197912,0.84
198001,0.33
198002,0.7
198003,0.3
198004,0.43
198005,0.53
198006,0.22
198007,0.38
198008,0.42
198009,0.3
198010,0.24
198011,0.33
198012,0.22
198101,1.16
198102,0.9
198103,0.91
198104,0.54
198105,0.32
198106,0.34
198107,0.38
198108,0.66
198109,0.21
198110,0.27
198111,0.4
198112,0.78
198201,-0.3
198202,0.23
198203,-0.26
198204,0.06
198205,0.03
198206,-0.16
198207,0.25
198208,-0.03
198209,0.03
198210,-0.14
198211,-0.15
198212,0.65
198301,0.67
198302,0.62
198303,0.59
198304,0.15
198305,0.46
198306,0.17
198307,0.08
198308,0.48
198309,0.72
198310,0.18
198311,0.6
198312,0.22
198401,0.41
198402,0.04
198403,0.44
198404,-0.06
198405,0.71
198406,-0.03
198407,0.17
198408,0.2
198409,0.13
198410,0.14
198411,-0.14
198412,-0.31
198501,0.49
198502,-0.34
198503,0.31
198504,0.13
198505,0.21
198506,0.26
198507,-0.26
198508,0.21
198509,0.07
198510,-0.03
198511,-0.02
198512,0.17
198601,0.51
198602,0.81
198603,0.6
198604,0.39
198605,0.42
198606,0.06
198607,0.04
198608,0.15
198609,-0.16
198610,-0.11
198611,-0.1
198612,0.09
198701,0.47
198702,0.57
198703,-0.1
198704,0.12
198705,0.23
198706,0.39
198707,0.65
198708,0.06
198709,0.28
198710,0.14
198711,-0.19
198712,0.56
198801,0.7
198802,0.47
198803,0.69
198804,0.58
198805,0.71
198806,0.67
198807,0.48
198808,0.64
198809,0.61
198810,0.57
198811,0.07
198812,0.57
198901,-0.13
198902,0.57
198903,0.54
198904,0.4
198905,0.07
198906,0.1
198907,0.25
198908,0.34
198909,0.5
198910,0.41
198911,-0.07
198912,0.69
199001,0.55
199002,0.44
199003,1.54
199004,1.09
199005,0.79
199006,0.46
199007,0.45
199008,0.34
199009,0.29
199010,0.5
199011,0.47
199012,0.58
199101,0.55
199102,0.86
199103,0.43
199104,0.76
199105,0.54
199106,0.88
199107,0.71
199108,0.59
199109,0.67
199110,0.49
199111,0.37
199112,0.34
199201,0.78
199202,0.71
199203,0.83
199204,0.21
199205,0.33
199206,0.2
199207,-0.09
199208,-0.08
199209,-0.3
199210,-0.14
199211,-0.16
199212,0.26
199301,0.5
199302,0.68
199303,0.62
199304,0.39
199305,0.25
199306,0.27
199307,0.28
199308,0.07
199309,0.07
199310,0.3
199311,-0.23
199312,0.2
199401,0.28
199402,-0.28
199403,0.4
199404,0.63
199405,0.39
199406,0.69
199407,0.37
199408,0.17
199409,0.52
199410,0.67
199411,0.54
199412,0.4
199501,0.93
199502,1.58
199503,0.82
199504,0.87
199505,0.38
199506,0.74
199507,0.76
199508,0.89
199509,0.67
199510,0.71
199511,0.75
199512,0.37
199601,0.31
199602,0.88
199603,0.49
199604,0.36
199605,0.37
199606,0.19
199607,0.55
199608,0.69
199609,0.22
199610,0.07
199611,0.64
199612,0.48
199701,0.2
199702,0.43
199703,0.84
199704,0.49
199705,0.34
199706,0.71
199707,0.26
199708,0.36
199709,0.72
199710,0.81
199711,0.76
199712,0.55
199801,0.62
199802,1.26
199803,0.81
199804,1.04
199805,0.93
199806,1.06
199807,1.04
199808,1.12
199809,0.73
199810,0.55
199811,0.49
199812,1.02
199901,0.73
199902,1.36
199903,0.3
199904,0.38
199905,0.35
199906,0.6
199907,0.57
199908,0.61
199909,0.74
199910,0.57
199911,0.64
199912,0.89
200001,0.4
200002,1.02
200003,0.98
200004,1.17
200005,0.51
200006,0.62
200007,0.6
200008,0.64
200009,0.61
200010,0.21
200011,0.24
200012,0.2
200101,0.68
200102,0.59
200103,0.8
200104,0.72
200105,0.83
200106,0.64
200107,0.92
200108,0.69
200109,0.76
200110,0.54
200111,1.2
200112,0.98
200201,1.19
200202,1.14
200203,1.52
200204,0.69
200205,1.01
200206,0.73
200207,1
200208,0.84
200209,0.93
200210,0.8
200211,0.88
200212,0.57
200301,1.25
200302,0.96
200303,0.79
200304,0.82
200305,0.88
200306,0.51
200307,0.71
200308,0.86
200309,1
200310,1.18
200311,0.69
200312,1.31
200401,0.92
200402,1.07
200403,1.06
200404,0.85
200405,0.33
200406,0.46
200407,0.15
200408,0.49
200409,0.67
200410,0.89
200411,1.15
200412,0.69
200501,1.41
200502,1.01
200503,1.31
200504,1.13
200505,0.99
200506,0.99
200507,0.88
200508,0.75
200509,1.16
200510,1.35
200511,1.52
200512,1.43
200601,0.99
200602,1.49
200603,1.18
200604,0.77
200605,0.73
200606,0.95
200607,0.7
200608,1.13
200609,0.99
200610,1.11
200611,1.05
200612,1.4
200701,1.81
200702,1.19
200703,1.24
200704,1.59
200705,1.13
200706,0.9
200707,0.96
200708,0.98
200709,1.08
200710,1.17
200711,1.21
200712,1.03
200801,0.29
200802,0.45
200803,1.56
200804,0.91
200805,0.83
200806,0.63
200807,0.89
200808,0.66
200809,0.93
200810,1.21
200811,1.37
200812,1.02
200901,1.28
200902,0.9
200903,0.8
200904,0.85
200905,0.88
200906,0.81
200907,1.02
200908,0.94
200909,1.27
200910,1.02
200911,1.22
200912,0.93
201001,1.1
201002,1.32
201003,1.53
201004,1.49
201005,1.23
201006,0.99
201007,0.96
201008,0.94
201009,1.04
201010,1.31
201011,1.64
201012,0.83
201101,0.93
201102,0.79
201103,1.2
201104,1.24
201105,0.82
201106,0.93
201107,1.21
201108,1.25
201109,1.08
201110,1.31
201111,0.94
201112,1.14
201201,0.87
201202,0.83
201203,0.88
201204,1.38
201205,1.34
201206,1.16
201207,0.88
201208,0.93
201209,1.17
201210,1.33
201211,1.29
201212,0.6
201301,1.2
201302,0.91
201303,1.04
201304,0.82
201305,0.98
201306,1.14
201307,0.74
201308,0.93
201309,1.23
201310,1.03
201311,1.38
201312,1.2
201401,1.29
201402,0.78
201403,1.44
201404,1.26
201405,1.28
201406,0.84
201407,0.66
201408,1.12
201409,1.2
201410,1.14
201411,0.84
201412,1.28
201501,1.37
201502,1.58
201503,1.66
201504,1.16
201505,1.07
201506,1.14
201507,0.9
201508,1.02
201509,1.22
201510,1.6
201511,1.56
201512,1.78
201601,1.95
201602,2.52
201603,2.46
201604,1.92
201605,1.4
201606,0.99
201607,1.11
201608,1.53
201609,1.47
201610,1.25
201611,1.63
201612,1.51
201701,1.8
201702,1.94
201703,1.96
201704,1.44
201705,1.35
201706,0.91
201707,1.1
201708,1.17
201709,1.28
201710,1.48
201711,1.48
201712,1.84
201801,1.43
201802,1.61
201803,1.48
201804,1.45
201805,1.23
201806,1.14
201807,1.24
201808,1.15
201809,1.13
201810,1.66
201811,1.14
201812,1.44
201901,1.46
201902,1.36
201903,2.1
201904,1.74
201905,1.31
201906,1.19
201907,1.2
201908,1.27
201909,1.43
201910,1.67
201911,1.53
201912,1.93
202001,1.96
202002,2.18
202003,1.89
202004,1.86
202005,1.51
202006,1.32
202007,1.24
202008,1.23
202009,1.68
202010,1.5
202011,2.09
202012,1.43
202101,1.47
202102,0.9
202103,1.58
202104,1.25
202105,1.25
202106,1.22
202107,1.32
202108,1.31
202109,1.49
202110,1.71
202111,1.55
202112,1.51
202201,1.5
202202,1.48
202203,2
202204,1.44
202205,1.23
202206,1.41
202207,1.37
202208,1.35
202209,1.26
202210,1.61
202211,0.95
202212,1.16
202301,1.39
202302,1.74
202303,2.17
202304,1.29
202305,1.23
202306,1.4
202307,1.58
202308,1.76
202309,2.31
202310,2.15
202311,2.37
202312,2.21
202401,1.91
202402,2.27
202403,2.12
202404,1.93
202405,1.62
202406,1.77
202407,1.74
202408,1.95
202409,1.92
202410,2.18
